Name,Current_Skills,Wanted_skills,Age,College,Attendance,Biography
Andre Agassi,"['Ephemera collecting', 'Lapel pins', 'Tai chi']","['Handball', 'Radio-controlled model playing']",97,Santa Cruz County Regional Occupation Program,undergraduate,"I'm Andre Agassi, and at 97, I've spent a lifetime gathering experiences and knowledge, primarily through the connections I've made along the way. My journey began in the Santa Cruz County Regional Occupation Program, where I first dabbled in various skills. Over the years, I've developed a passion for ephemera collecting and lapel pins, finding joy in the stories behind each piece. Recently, I've also taken up tai chi, which has become a meditative practice for me. While I enjoy sharing what I've learned, I’m equally eager to grow by learning from others. Handball has always intrigued me—there's something about that fast-paced game that draws me in. I’ve also developed a curiosity for radio-controlled model playing; I just think it would be a blast. I believe that every interaction offers a chance to learn something new, and I'm always on the lookout for opportunities to expand my horizons."
Andy Warhol,"['Radio-controlled model playing', 'Cribbage', 'Ice skating', 'Surfing', 'Tea bag collecting']","['Lacrosse', 'Insect collecting', 'Finance', 'Geocaching', 'Graffiti']",97,Cabrillo College,undergraduate,"I’m Andy Warhol, a 97-year-old with a penchant for learning and sharing what I know. My journey has taken me through various interests over the years, from mastering the art of ice skating to getting lost in the strategy of cribbage. There's something about radio-controlled model playing that keeps the child in me alive, and I’ve even found joy in the surprisingly intricate world of tea bag collecting. I spent some time at Cabrillo College, which opened my eyes to the importance of collaboration and mentorship in honing one’s skills. While I’m always up for sharing my experiences, I’m also eager to pick up new ones. Lacrosse and insect collecting have piqued my curiosity lately, as have finance and geocaching—there’s something intriguing about exploring the world through these lenses. Graffiti fascinates me too; it’s a form of expression I’d love to understand better. I believe that every interaction is an opportunity to learn, and I’m always on the lookout for new connections that can help broaden my horizons."
Amos Bronson Alcott,"['Dairy Farming', 'Benchmarking', 'Sun bathing', 'Motor sports', 'Sun bathing']","['jurisprudential', 'Railway modelling', 'Basketball', 'Lomography', 'Chess']",47,Santa Cruz County Office of Education,phd,"I’m Amos Bronson Alcott, a 47-year-old who’s spent quite a bit of time honing various skills, particularly in dairy farming and benchmarking. I’ve always been drawn to the outdoors, so I find solace in sunbathing when I can. Motor sports have also been a passion of mine; there's something exhilarating about the speed and precision involved. Currently, I’m in pursuit of improvement and eager to learn from those who are more experienced in areas like jurisprudential matters, railway modeling, and even basketball. I’ve dabbled in lomography and chess, but there’s always room for growth. My educational journey took me through the Santa Cruz County Office of Education, where I pursued a PhD, and I still believe that the best learning often comes from shared experiences with others. Whether it’s a casual conversation or a structured lesson, I appreciate the insights that different perspectives can bring to my own understanding."
Andrew Johnson,"['Surfing', 'Rock painting', 'Marbles']","['Polo', 'Gold prospecting', 'Vintage cars', 'Air hockey']",37,Santa Cruz County Regional Occupation Program,undergraduate,"I'm Andrew Johnson, 37, and I’ve spent a good chunk of my life picking up various skills, but I’m always on the lookout to learn more. I’ve got a knack for surfing, which brings me a sense of freedom, and I enjoy rock painting as a creative outlet. Marbles? You could say I have a soft spot for the game; it’s a fun throwback to my childhood. I graduated from the Santa Cruz County Regional Occupation Program, where I picked up some practical knowledge that I still apply today. But there's so much more I want to dive into. Polo fascinates me; the strategy and teamwork involved seem thrilling. Gold prospecting has its own allure—there's something exciting about the potential of finding treasure. I’ve also developed an interest in vintage cars; the craftsmanship and history behind them are captivating. Lastly, air hockey is a skill I’d love to master—there's something about the fast-paced action that draws me in. I find that learning from others not only sharpens my own abilities but also fosters connections that enrich my life."
Arnold Schwarzenegger,['Gymnastics'],"['Rock climbing', 'Badminton']",69,"CSUMB - California State University, Monterey Bay",phd,"I'm Arnold Schwarzenegger, and at 69, I've spent a good part of my life diving into various pursuits, from bodybuilding to acting and even politics. These experiences have shaped my perspective on learning and growth. Currently, I'm passionate about gymnastics, and I enjoy sharing what I know with others. There's something rewarding about passing on skills and seeing others progress. On the flip side, I’m always eager to learn new things myself, particularly rock climbing and badminton, which I've never had the chance to explore. I believe there’s so much to gain from others, especially when it comes to skills that push you out of your comfort zone. I graduated with a PhD from CSUMB, and that academic journey taught me the value of perseverance and curiosity. Each experience, whether it's in the gym or the classroom, contributes to the bigger picture of who we are."
Ani DiFranco,"['Auto racing', 'Figure Skating']","['Ticket collecting', 'Action figure']",30,UCSC - University of California at Santa Cruz,masters,"I’m Ani DiFranco, a 30-year-old with a passion for both auto racing and figure skating. My journey has taken me from the University of California at Santa Cruz, where I pursued my master's, to the racetracks and ice rinks that fuel my competitive spirit. I enjoy sharing what I know about these two worlds, finding joy in teaching others the nuances of speed and grace. But I'm not just about giving; I’m also eager to learn. I’ve always had a fascination with ticket collecting and action figures, and I wish I could connect with someone who could guide me in those areas. I believe that every person has something valuable to share, and I thrive on the exchange of knowledge. Whether it's honing my skills or exploring new interests, I’m always looking for ways to grow and expand my horizons through the experiences of others. Life is a continuous learning process, and I’m here for every bit of it."
Anthony Hopkins,"['Horsemanship', 'Motor sports', 'Fingerprint collecting']","['Crystals', 'Shooting sports', 'Pool']",34,Santa Cruz County Regional Occupation Program,,"I'm Anthony Hopkins, a 34-year-old with a passion for learning and honing my skills. I've dabbled in horsemanship, motor sports, and even fingerprint collecting—each experience has its own story and challenge. I find immense value in learning from others, so I’m always on the lookout for opportunities to expand my horizons. While I can share what I know about riding and racing, I’m eager to pick up new skills, particularly in areas like shooting sports, pool, and even the intriguing world of crystals. My educational journey took a turn through the Santa Cruz County Regional Occupation Program, where I absorbed as much knowledge as I could. I believe that every interaction holds the potential to teach us something new, and I'm excited for what lies ahead."
Anaïs Nin,"['Mini Golf', 'Architecture', 'Ephemera collecting', 'Roller skating', 'Fencing']","['Field hockey', 'Roller skating', 'Dog walking', 'Roundnet', 'Radio-controlled model playing']",53,"CSUMB - California State University, Monterey Bay",,"I’m Anaïs Nin, a 53-year-old who’s always looking to expand my horizons. With a background in architecture, I've honed my eye for design and aesthetics, but I’ve also developed some unexpected passions along the way. Mini golf offers a quirky escape, while roller skating brings back the joy of carefree movement. I have a fascination with ephemera collecting; there’s something thrilling about preserving snippets of history that might otherwise be forgotten. Fencing has taught me discipline and strategy, but I’m always eager to learn more from others. Despite my enthusiasm for roller skating, I’d love to improve my skills in field hockey and dive into the world of roundnet. I’ve also been thinking about picking up dog walking as a relaxing pastime. My time at California State University, Monterey Bay was impactful, although I didn’t attend as fully as I’d have liked. I believe in the power of learning through collaboration, and I’m always on the lookout for new experiences and insights to share and grow from."
Adrian Lamo,['publishing'],"['Softball', 'Railway modelling', 'Camping', 'Element collecting']",59,"CSUMB - California State University, Monterey Bay",phd,"I’m Adrian Lamo, and at 59, I find myself at a stage where learning from others is more important than ever. I’ve been immersed in publishing for quite a while now, and I often enjoy sharing that knowledge with anyone willing to listen. But I’m also on the lookout for new skills to dive into—softball, railway modeling, camping, and even element collecting are all areas that intrigue me. It’s fascinating how much there is to learn from different experiences and perspectives. I pursued my PhD at California State University, Monterey Bay, which definitely shaped my approach to learning and collaboration. I believe that engaging with others is one of the best ways to grow, and I’m always eager to exchange ideas and insights. Whether it’s on the field, in the great outdoors, or at the workbench, I’m ready to soak up whatever knowledge comes my way."
Al Capp,['Bus spotting'],"['Netball', 'Renaissance fair', 'Roller skating', 'Dog walking']",32,Did not attend college,,"I’m Al Capp, and at 32, I’ve found myself diving into various interests, always eager to learn from those around me. I’ve developed a knack for bus spotting, which has surprisingly opened doors to fascinating conversations with fellow enthusiasts. While I enjoy sharing what I know, I’m the first to admit there’s so much more out there that I want to explore. I often find myself daydreaming about mastering skills like netball, which looks like a blast, or even the art of roller skating—something I’ve always admired from afar. I’ve also got my sights set on the vibrant world of Renaissance fairs; it seems like a place where creativity and history come alive. On the more practical side, I could use some guidance in dog walking to handle my energetic pup better. I didn’t follow the traditional college route, but I’ve always believed that learning from others is just as valuable, if not more so. Every encounter is a chance to grow, and I’m all in for that journey."
Arthur Jensen,"['Racquetball', 'Sports memorabilia']","['Compact discs', 'Amateur astronomy', 'Color guard', 'Bodybuilding', 'Road biking']",81,Cabrillo College,undergraduate,"I’m Arthur Jensen, an 81-year-old with a passion for learning and sharing what I know. Growing up, I developed a love for racquetball, and I enjoy teaching others the ins and outs of the game. Alongside that, I’ve collected a fair amount of sports memorabilia over the years, and I'm always keen to share stories behind those pieces. My educational journey took me through Cabrillo College, where I found a community that sparked my curiosity. Now, I’m on the lookout for new skills to dive into. I’ve got my eye on learning about compact discs and amateur astronomy, but I wouldn’t mind picking up some tips on bodybuilding and road biking, either. I’ve got a lot of enthusiasm for color guard, too. I feel that there's always something new to grasp and ways to improve, especially when it comes to learning from others. Whether it's through casual conversations or structured lessons, I’m ready to soak it all in and expand my horizons."
Albert Brooks,"['Laser tag', 'jurisprudential']",['Speedcubing'],34,Did not attend college,,"I’m Albert Brooks, and at 34, I've carved out my own path without the traditional college experience. My journey has led me to hone a few skills, particularly in laser tag strategy and a strong understanding of jurisprudence. I find it fascinating how the rules of law shape our lives and enjoy sharing this knowledge with others. While I’m confident in what I can teach, I’m always looking to broaden my horizons—especially when it comes to speedcubing. The way those cubes twist and turn captivates me, and I’d love to learn from someone who can unlock that skill. I believe there’s so much to gain from connecting with others and absorbing their expertise. Whether it’s through casual conversations or hands-on practice, every interaction is an opportunity to grow. I’m constantly on the lookout for ways to improve and expand my abilities, and I find that learning never really stops, no matter where you are in life."
Arlo Guthrie,"['Badminton', 'Finance']","['Car tuning', 'Parkour', 'Speedcubing']",23,UCSC - University of California at Santa Cruz,undergraduate,"I'm Arlo Guthrie, a 23-year-old student at UCSC, where I'm diving into the world of finance. While I enjoy crunching numbers and analyzing data, I also have a passion for badminton, which I've been playing for years. I find teaching others to be a fantastic way to reinforce my own skills, so I'm always up for a game or sharing tips on strategy. Beyond academics and sports, I've got a few hobbies that I'm eager to expand on. Car tuning fascinates me, and I’d love to learn more about it from someone experienced. I’ve also been intrigued by parkour and speedcubing; the combination of physical agility and mental dexterity is something I admire. I believe there's so much to gain from the experiences of others, and I’m constantly looking to connect with people who can help me grow in these areas. I appreciate the journey of learning, and I’m ready to soak up new knowledge whenever I can."
Bill Gates,"['Sports science', 'Mycology', 'Topiary']",['Basketball'],42,Cabrillo College,masters,"I’m Bill Gates, and at 42, I've spent a good chunk of my life diving deep into various fields, from sports science to the intricate world of mycology. My time at Cabrillo College was pivotal, shaping my curiosity and pushing me toward mastery in areas that fascinate me. I’ve always believed in the power of learning from others, which is why I'm keen on sharing what I know about sports science, topiary, and the delicate art of cultivating mushrooms. But I’m not just here to teach; I’m also eager to learn. Basketball has always been a sport that intrigues me, and I would love to connect with someone who can help me improve my skills on the court. I think there's something unique about exchanging knowledge, whether it's through teaching or learning, and I’m constantly looking for opportunities to grow in both areas."
Bing Crosby,"['Field hockey', 'Geocaching', 'Cheerleading']","['Movie memorabilia collecting', 'Trapshooting', 'Softball', 'Snorkeling', 'Railway modelling']",85,Cabrillo College,undergraduate,"I’m Bing Crosby, an 85-year-old lifelong learner who’s always looking to expand my horizons. Growing up, I developed a passion for field hockey, cheerleading, and even got into geocaching as a fun way to explore the outdoors. I’ve had my fair share of experiences, and now I find joy in sharing what I know with others. There’s something rewarding about teaching, whether it’s helping someone master a cheer routine or guiding them on a geocaching adventure. While I love sharing my skills, I’m equally eager to learn from those around me. There are many things I’d love to dive into, like collecting movie memorabilia or getting the hang of trapshooting. I’ve always had a fascination with softball and snorkeling too—there’s just something about being out in the water that calls to me. Plus, I have a budding interest in railway modeling that I’d like to explore further. My time at Cabrillo College instilled a strong appreciation for knowledge, and I’m always on the lookout for new experiences and insights that can broaden my perspective."
Blythe Danner,"['Dog sport', 'Pool', 'Rock painting']",['Climbing'],64,"CSUMB - California State University, Monterey Bay",,"I’m Blythe Danner, and at 64, I find myself constantly looking for ways to grow and refine my skills. Having spent some time at CSUMB, I’ve developed a solid foundation in various interests, particularly in dog sports and pool, where I enjoy both the challenge and the camaraderie. Rock painting has become a recent passion of mine, allowing me to express creativity while connecting with others who share similar interests. But I believe learning is a two-way street, and I’m eager to absorb knowledge from others as well. Climbing is one skill I’m particularly keen on exploring; there’s something about the thrill of reaching new heights that fascinates me. I often find that the best insights come from those who have traveled a path I’m just beginning to consider. Whether I’m teaching or learning, I appreciate the exchange of ideas and experiences that helps me navigate this ever-evolving landscape of interests."
